"STUDYID","DOMAIN","USUBJID","SESEQ","ETCD","ELEMENT","SESTDTC","SEENDTC","SEUPDES"
"GLP003","SE","107001546",463,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001623",464,"D_4","200 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001405",465,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001463",466,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001494",467,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001453",468,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001448",469,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001413",470,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001476",471,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001380",472,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001417",473,"D_5","600 mg/kg/day XYZ-12345","2007-06-12","2007-06-12",NA
"GLP003","SE","107001548",474,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001523",475,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001611",476,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001502",477,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001510",478,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
"GLP003","SE","107001509",479,"D_5","600 mg/kg/day XYZ-12345","2007-06-14","2007-06-14",NA
